"Tableau 1","","","","",""
"61942bafe990d1c56e89d2a3","1460729446579814406","wattsupwiththat","Polar Bear Habitat More Extensive in Most Areas of the Arctic Compared to Previous Years  ://  /RrqicAFV58","20211116220013","3_2"
"61942bb2e990d1c56e89d2a4","1460728866641563648","PeterDClack","Global warming moved on from carbon dioxide. Its now about money and vast free subsidies to seek a holy grail to replace affordable fossil power. Cllimate fear was a global warming scam that never happened. Greedy rich financiers are queuing up &   ; we will soon kneel before them.","20211116215755","5_2"
"61942bb3e990d1c56e89d2a6","1460731141288173569","socratesccost","@jonatho84952843 CO2 is C02, no matter where it comes from.","20211116220657","2_3"
"61942bb4e990d1c56e89d2ab","1460724206820212738","socratesccost","The truth about home heating gas boilers in the UK:
Emissions: 
Carbon dioxide 33%
Water vapour 67%  ://  /qCM6v2EIJy","20211116213924","2_3"
"6194d69f1506ad4079042870","1460878651872841731","HeartlandInst","RT @RealismClimate: Climate Realism:  No Media, Greenland Ice Loss Isn’t Catastrophic, Nor Increasing  ://  /1ltU87XqB0","20211117075307","1_1"
"6194d6a31506ad4079042878","1460878775810465796","RogTallbloke","@guesshoo90 @mattsissons25 @BenIrvineAuthor CO2 is incapable of holding energy in the system because its radiative equilibrium temperature is around  -72C and it has almost zero heat capacity anyway.","20211117075336","2_3"
"6194d6a41506ad407904287d","1460877048197496832","WEschenbach","@Sheldrake @robpatrob @MikeHudema I'm sorry, but 3 mammals and 6 birds going extinct in 500 years, none of them from habitat reduction, is not evidence for the claims of a habitat-driven 6th wave of extinctions.

Regards,

w.","20211117074644","3_2"
"6194d6a41506ad407904287f","1460851267312373760","WEschenbach","@JesseJenkins Point me to somewhere that CO2 is injected underground is both economical, scalable globally, and guaranteed not to come back out.

Current emissions 38.5 Gt CO2/yr. We store 0.1% of emissions underground. Cost is ~$20/ton which would be $3/4 TRILLION/year.

Who will pay?

w.","20211117060418","2_3"
"6194d6a51506ad4079042886","1460765780304281603","MAVERIC22440705","RT @TethLL: @tan123 @DavidBellamyUK @mariannaspring There is NO #ClimateCrisis 👉🏼As CO2 is rising Deaths from #ClimateDisasters have plumme…","20211117002436","2_3"
"6194d6a61506ad407904288a","1460768572863516676","PeterDClack","@TheMrsDexter @ImpossibleBob Carbon dioxide is a trace gas at 410ppm in the atmosphere. CO2 is 1 pert carbon and 2 parts oxygen. It has been the foundation for all life on earth. It is quite harmless too mammals and an ideal level for plant growth &   ; photosynthesis would be 1000ppm. It cannot kill anyone.","20211117003542","3_3"
"6194d6a61506ad407904288b","1460867180883443716","socratesccost","@GOENRI Surface CO2 stays at the surface.
The CO2 at Mauna Loa at 4,200 metres is ocean CO2.  ://  /g2oavY0e86","20211117070732","2_3"
